origin,destination,carrier,departure,arrival,carrier_eta
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-10,2016-04-06
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-06,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-04,2016-04-07,2016-04-08
CNSHA,USA,SAME_DAY,2016-04-04,2016-04-04,2016-04-04
CNSHA,USA,FIRST_CLASS,2016-04-04,2016-04-06,2016-04-05
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-06,2016-04-06
CNSHA,USA,FIRST_CLASS,2016-04-04,2016-04-06,2016-04-05
CNSHA,USA,FIRST_CLASS,2016-04-04,2016-04-06,2016-04-05
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-07,2016-04-06
CNSHA,USA,SECOND_CLASS,2016-04-04,2016-04-09,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-10,2016-04-09
CNSHA,USA,FIRST_CLASS,2016-04-05,2016-04-07,2016-04-06
CNSHA,USA,FIRST_CLASS,2016-04-05,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-11,2016-04-09
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-07,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-10,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-09,2016-04-09
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-10,2016-04-07
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-09,2016-04-07
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-08,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-07,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-11,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-11,2016-04-09
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-10,2016-04-07
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-08,2016-04-07
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-07,2016-04-07
CNSHA,USA,FIRST_CLASS,2016-04-05,2016-04-07,2016-04-06
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-08,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-08,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-09,2016-04-09
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-07,2016-04-07
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-07,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-05,2016-04-10,2016-04-09
CNSHA,USA,SECOND_CLASS,2016-04-05,2016-04-09,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-08,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-08,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-08,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-08,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-08,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-12,2016-04-10
CNSHA,USA,FIRST_CLASS,2016-04-06,2016-04-08,2016-04-07
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-12,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-12,2016-04-10
CNSHA,USA,SECOND_CLASS,2016-04-06,2016-04-11,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-09,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-08,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-06,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-12,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-11,2016-04-11
CNSHA,USA,FIRST_CLASS,2016-04-07,2016-04-09,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-09,2016-04-11
CNSHA,USA,SECOND_CLASS,2016-04-07,2016-04-09,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-10,2016-04-11
CNSHA,USA,FIRST_CLASS,2016-04-07,2016-04-09,2016-04-08
CNSHA,USA,SECOND_CLASS,2016-04-07,2016-04-13,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-10,2016-04-11
CNSHA,USA,SAME_DAY,2016-04-07,2016-04-08,2016-04-07
CNSHA,USA,FIRST_CLASS,2016-04-07,2016-04-09,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-12,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-09,2016-04-11
CNSHA,USA,SECOND_CLASS,2016-04-07,2016-04-13,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-10,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-11,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-11,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-12,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-11,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-10,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-11,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-09,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-11,2016-04-11
CNSHA,USA,FIRST_CLASS,2016-04-07,2016-04-09,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-07,2016-04-09,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-13,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-14,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-11,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-11,2016-04-12
CNSHA,USA,FIRST_CLASS,2016-04-08,2016-04-10,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-12,2016-04-12
CNSHA,USA,SECOND_CLASS,2016-04-08,2016-04-14,2016-04-10
CNSHA,USA,FIRST_CLASS,2016-04-08,2016-04-10,2016-04-09
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-13,2016-04-12
CNSHA,USA,SECOND_CLASS,2016-04-08,2016-04-12,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-14,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-12,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-10,2016-04-12
CNSHA,USA,SAME_DAY,2016-04-08,2016-04-08,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-11,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-11,2016-04-12
CNSHA,USA,SECOND_CLASS,2016-04-08,2016-04-10,2016-04-10
CNSHA,USA,FIRST_CLASS,2016-04-08,2016-04-10,2016-04-09
CNSHA,USA,SECOND_CLASS,2016-04-08,2016-04-14,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-14,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-14,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-12,2016-04-12
CNSHA,USA,SAME_DAY,2016-04-08,2016-04-08,2016-04-08
CNSHA,USA,STANDARD_CLASS,2016-04-08,2016-04-11,2016-04-12
CNSHA,USA,FIRST_CLASS,2016-04-08,2016-04-10,2016-04-09
CNSHA,USA,SECOND_CLASS,2016-04-08,2016-04-10,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-11,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-15,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-12,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-12,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-11,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-15,2016-04-13
CNSHA,USA,FIRST_CLASS,2016-04-09,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-15,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-15,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-12,2016-04-13
CNSHA,USA,SECOND_CLASS,2016-04-09,2016-04-14,2016-04-11
CNSHA,USA,FIRST_CLASS,2016-04-09,2016-04-11,2016-04-10
CNSHA,USA,FIRST_CLASS,2016-04-09,2016-04-11,2016-04-10
CNSHA,USA,FIRST_CLASS,2016-04-09,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-12,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-12,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-14,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-11,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-11,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-13,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-15,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-12,2016-04-13
CNSHA,USA,FIRST_CLASS,2016-04-09,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-12,2016-04-13
CNSHA,USA,FIRST_CLASS,2016-04-09,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-15,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-14,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-12,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-09,2016-04-11,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-12,2016-04-14
CNSHA,USA,SECOND_CLASS,2016-04-10,2016-04-14,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-13,2016-04-14
CNSHA,USA,SECOND_CLASS,2016-04-10,2016-04-14,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-16,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-13,2016-04-14
CNSHA,USA,SECOND_CLASS,2016-04-10,2016-04-15,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-15,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-12,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-12,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-16,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-12,2016-04-14
CNSHA,USA,SAME_DAY,2016-04-10,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-15,2016-04-14
CNSHA,USA,SECOND_CLASS,2016-04-10,2016-04-14,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-13,2016-04-14
CNSHA,USA,SAME_DAY,2016-04-10,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-13,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-12,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-16,2016-04-14
CNSHA,USA,SAME_DAY,2016-04-10,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-14,2016-04-14
CNSHA,USA,FIRST_CLASS,2016-04-10,2016-04-12,2016-04-11
CNSHA,USA,SAME_DAY,2016-04-10,2016-04-11,2016-04-10
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-16,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-13,2016-04-14
CNSHA,USA,FIRST_CLASS,2016-04-10,2016-04-12,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-16,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-14,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-10,2016-04-15,2016-04-14
CNSHA,USA,SAME_DAY,2016-04-11,2016-04-11,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-16,2016-04-15
CNSHA,USA,SECOND_CLASS,2016-04-11,2016-04-16,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-17,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-17,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-14,2016-04-15
CNSHA,USA,SECOND_CLASS,2016-04-11,2016-04-14,2016-04-13
CNSHA,USA,SAME_DAY,2016-04-11,2016-04-11,2016-04-11
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-15,2016-04-15
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-15,2016-04-15
CNSHA,USA,SECOND_CLASS,2016-04-11,2016-04-16,2016-04-13
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-13,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-13,2016-04-15
CNSHA,USA,SECOND_CLASS,2016-04-11,2016-04-15,2016-04-13
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-15,2016-04-15
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-14,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-13,2016-04-15
CNSHA,USA,SECOND_CLASS,2016-04-11,2016-04-15,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-15,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-13,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-17,2016-04-15
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,FIRST_CLASS,2016-04-11,2016-04-13,2016-04-12
CNSHA,USA,STANDARD_CLASS,2016-04-11,2016-04-17,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-15,2016-04-16
CNSHA,USA,SECOND_CLASS,2016-04-12,2016-04-17,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-18,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-17,2016-04-16
CNSHA,USA,SECOND_CLASS,2016-04-12,2016-04-16,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-16,2016-04-16
CNSHA,USA,SAME_DAY,2016-04-12,2016-04-12,2016-04-12
CNSHA,USA,FIRST_CLASS,2016-04-12,2016-04-14,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-14,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-14,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-16,2016-04-16
CNSHA,USA,FIRST_CLASS,2016-04-12,2016-04-14,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-18,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-18,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-18,2016-04-16
CNSHA,USA,FIRST_CLASS,2016-04-12,2016-04-14,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-18,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-16,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-15,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-17,2016-04-16
CNSHA,USA,FIRST_CLASS,2016-04-12,2016-04-14,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-18,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-12,2016-04-17,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-16,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-19,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-17,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-17,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-18,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-18,2016-04-17
CNSHA,USA,SECOND_CLASS,2016-04-13,2016-04-17,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-17,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-15,2016-04-17
CNSHA,USA,SECOND_CLASS,2016-04-13,2016-04-17,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-15,2016-04-17
CNSHA,USA,SAME_DAY,2016-04-13,2016-04-13,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-17,2016-04-17
CNSHA,USA,SAME_DAY,2016-04-13,2016-04-14,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-16,2016-04-17
CNSHA,USA,SECOND_CLASS,2016-04-13,2016-04-16,2016-04-15
CNSHA,USA,SECOND_CLASS,2016-04-13,2016-04-15,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-17,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-19,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-16,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-17,2016-04-17
CNSHA,USA,SECOND_CLASS,2016-04-13,2016-04-17,2016-04-15
CNSHA,USA,SECOND_CLASS,2016-04-13,2016-04-19,2016-04-15
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-15,2016-04-17
CNSHA,USA,STANDARD_CLASS,2016-04-13,2016-04-19,2016-04-17
CNSHA,USA,FIRST_CLASS,2016-04-13,2016-04-15,2016-04-14
CNSHA,USA,SAME_DAY,2016-04-13,2016-04-14,2016-04-13
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-17,2016-04-18
CNSHA,USA,SECOND_CLASS,2016-04-14,2016-04-20,2016-04-16
CNSHA,USA,SAME_DAY,2016-04-14,2016-04-15,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-16,2016-04-18
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-16,2016-04-18
CNSHA,USA,SAME_DAY,2016-04-14,2016-04-15,2016-04-14
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-19,2016-04-18
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-17,2016-04-18
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-19,2016-04-18
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-16,2016-04-18
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-19,2016-04-18
CNSHA,USA,SECOND_CLASS,2016-04-14,2016-04-20,2016-04-16
CNSHA,USA,SECOND_CLASS,2016-04-14,2016-04-20,2016-04-16
CNSHA,USA,STANDARD_CLASS,2016-04-14,2016-04-18,2016-04-18
